Year,Round,Team1,Score1,Seed1,Team2,Score2,Seed2
1985,1,St Johns,83,1,Southern,59,16
1985,1,VCU,81,2,Marshall,65,15
1985,1,NC State,65,3,Nevada,56,14
1985,1,UNLV,85,4,San Diego St,80,13
1985,1,Washington,58,5,Kentucky,65,12
1985,1,Tulsa,75,6,UTEP,79,11
1985,1,Alabama,50,7,Arizona,41,10
1985,1,Iowa,54,8,Arkansas,63,9
1985,1,Georgetown,68,1,Lehigh,43,16
1985,1,Georgia Tech,65,2,Mercer,58,15
1985,1,Illinois,76,3,Northeastern,57,14
1985,1,Loyola Illinois,59,4,Iona,58,13
1985,1,SMU,85,5,Old Dominion,68,12
1985,1,Georgia,67,6,Wichita St,59,11
1985,1,Syracuse,70,7,DePaul,65,10
1985,1,Temple,60,8,Virginia Tech,57,9
1985,1,Oklahoma,96,1,North Carolina A&T,83,16
1985,1,Memphis,67,2,Pennsylvania,55,15
1985,1,Duke,75,3,Pepperdine,62,14
1985,1,Ohio St,75,4,Iowa St,64,13
1985,1,Louisiana Tech,78,5,Pittsburgh,54,12
1985,1,Texas Tech,53,6,Boston College,55,11
1985,1,UAB,70,7,Michigan St,68,10
1985,1,USC,55,8,Illinois St,58,9
1985,1,Michigan,59,1,Fairleigh Dickinson,55,16
1985,1,North Carolina,76,2,Middle Tennessee St,57,15
1985,1,Kansas,49,3,Ohio,38,14
1985,1,LSU,55,4,Navy,78,13
1985,1,Maryland,69,5,Miami Ohio,68,12
1985,1,Purdue,58,6,Auburn,59,11
1985,1,Notre Dame,79,7,Oregon St,70,10
1985,1,Villanova,51,8,Dayton,49,9
1985,2,St Johns,68,1,Arkansas,65,9
1985,2,VCU,59,2,Alabama,63,7
1985,2,NC State,86,3,UTEP,73,11
1985,2,UNLV,61,4,Kentucky,64,12
1985,2,Georgetown,63,1,Temple,46,8
1985,2,Georgia Tech,70,2,Syracuse,53,7
1985,2,Illinois,74,3,Georgia,58,6
1985,2,Loyola Illinois,70,4,SMU,57,5
1985,2,Oklahoma,75,1,Illinois St,69,9
1985,2,Memphis,67,2,UAB,66,7
1985,2,Duke,73,3,Boston College,74,11
1985,2,Ohio St,67,4,Louisiana Tech,79,5
1985,2,Michigan,55,1,Villanova,59,8
1985,2,North Carolina,60,2,Notre Dame,58,7
1985,2,Kansas,64,3,Auburn,66,11
1985,2,Navy,59,13,Maryland,64,5
1985,3,St Johns,86,1,Kentucky,70,12
1985,3,Alabama,55,7,NC State,61,3
1985,3,Georgetown,65,1,Loyola Illinois,53,4
1985,3,Georgia Tech,61,2,Illinois,53,3
1985,3,Oklahoma,86,1,Louisiana Tech,84,5
1985,3,Memphis,59,2,Boston College,57,11
1985,3,Villanova,46,8,Maryland,43,5
1985,3,North Carolina,62,2,Auburn,56,11
1985,4,St Johns,69,1,NC State,60,3
1985,4,Georgetown,60,1,Georgia Tech,54,2
1985,4,Oklahoma,61,1,Memphis,63,2
1985,4,Villanova,56,8,North Carolina,44,2
1985,5,St Johns,59,1,Georgetown,77,1
1985,5,Memphis,45,2,Villanova,52,8
1985,6,Georgetown,64,1,Villanova,66,8
1986,1,Kentucky,75,1,Davidson,55,16
1986,1,Georgia Tech,68,2,Marist,53,15
1986,1,Memphis,95,3,Ball St,63,14
1986,1,Illinois,75,4,Fairfield,51,13
1986,1,Alabama,97,5,Xavier,80,12
1986,1,Purdue,87,6,LSU,94,11
1986,1,Virginia Tech,62,7,Villanova,71,10
1986,1,Western Kentucky,67,8,Nebraska,59,9
1986,1,St Johns,83,1,Montana St,74,16
1986,1,Louisville,93,2,Drexel,73,15
1986,1,North Carolina,84,3,Utah,72,14
1986,1,UNLV,74,4,Louisiana Monroe,51,13
1986,1,Maryland,69,5,Pepperdine,64,12
1986,1,UAB,66,6,Missouri,64,11
1986,1,Bradley,83,7,UTEP,65,10
1986,1,Auburn,73,8,Arizona,63,9
1986,1,Duke,85,1,Mississippi Valley St,78,16
1986,1,Syracuse,101,2,Brown,52,15
1986,1,Indiana,79,3,Cleveland St,83,14
1986,1,Oklahoma,80,4,Northeastern,74,13
1986,1,Virginia,68,5,DePaul,72,12
1986,1,St Josephs,60,6,Richmond,59,11
1986,1,Navy,87,7,Tulsa,68,10
1986,1,Old Dominion,72,8,West Virginia,64,9
1986,1,Kansas,71,1,North Carolina A&T,46,16
1986,1,Michigan,70,2,Akron,64,15
1986,1,Notre Dame,83,3,Arkansas Little Rock,90,14
1986,1,Georgetown,70,4,Texas Tech,64,13
1986,1,Michigan St,72,5,Washington,70,12
1986,1,NC State,66,6,Iowa,64,11
1986,1,Iowa St,81,7,Miami Ohio,79,10
1986,1,Jacksonville,50,8,Temple,61,9
1986,2,Kentucky,71,1,Western Kentucky,64,8
1986,2,Georgia Tech,66,2,Villanova,61,10
1986,2,Memphis,81,3,LSU,83,11
1986,2,Illinois,56,4,Alabama,58,5
1986,2,St Johns,65,1,Auburn,81,8
1986,2,Louisville,82,2,Bradley,68,7
1986,2,North Carolina,77,3,UAB,59,6
1986,2,UNLV,70,4,Maryland,64,5
1986,2,Duke,89,1,Old Dominion,61,8
1986,2,Syracuse,85,2,Navy,97,7
1986,2,Cleveland St,75,14,St Josephs,69,6
1986,2,Oklahoma,69,4,DePaul,74,12
1986,2,Kansas,65,1,Temple,43,9
1986,2,Michigan,69,2,Iowa St,72,7
1986,2,Arkansas Little Rock,66,14,NC State,80,6
1986,2,Georgetown,68,4,Michigan St,80,5
